source,target,weight
BeeP-07-2013_dead,BP25_dead,1
BeeP-07-2013_dead,BP33_dead,1
BeeP-07-2013_dead,BeeP-17-2013_alive,1
BeeP-07-2013_dead,BP1_alive,1
BeeP-07-2013_dead,BP32_dead,1
BeeP-07-2013_dead,BP3_alive,1
BeeP-07-2013_dead,BP50_alive,1
BeeP-12-2013_alive,BP12_dead,1
BeeP-12-2013_alive,BP33_dead,1
BeeP-12-2013_alive,BP49_alive,1
BeeP-12-2013_alive,BP32_dead,1
BeeP-12-2013_alive,BP3_alive,1
BeeP-12-2013_alive,BP50_alive,1
BeeP-06-2013_alive,BeeP-08-2013_alive,2
BeeP-06-2013_alive,BeeP-05-2013_dead,2
BeeP-06-2013_alive,BeeP-18-2013_dead,2
BeeP-06-2013_alive,BeeP-16-2013_dead,2
BeeP-06-2013_alive,BeeP-32-2013_alive,2
BeeP-06-2013_alive,BeeP-25-2013_alive,2
BeeP-06-2013_alive,BeeP-35-2013_alive,2
BeeP-06-2013_alive,BP10_alive,2
BeeP-06-2013_alive,BeeP-38-2013_dead,1
BeeP-06-2013_alive,BP24_dead,2
BeeP-06-2013_alive,BeeP-47-2013_alive,2
BeeP-06-2013_alive,BeeP-45-2013_alive,2
BeeP-06-2013_alive,BeeP-44-2013_dead,2
BeeP-06-2013_alive,BeeP-48-2013_dead,2
BeeP-06-2013_alive,BeeP-49-2013_alive,2
BeeP-06-2013_alive,BeeP-17-2013_alive,2
BeeP-06-2013_alive,BP49_alive,1
BeeP-06-2013_alive,BP23_alive,2
BeeP-06-2013_alive,BeeP-11-2013_dead,2
BeeP-06-2013_alive,BP50_alive,2
BeeP-09-2013_dead,BeeP-05-2013_dead,1
BeeP-09-2013_dead,BeeP-23-2013_dead,1
BeeP-09-2013_dead,BeeP-32-2013_alive,1
BeeP-09-2013_dead,BeeP-39-2013_alive,1
BeeP-09-2013_dead,BP25_dead,1
BeeP-09-2013_dead,BP31_dead,1
BeeP-09-2013_dead,BP41_alive,2
BeeP-09-2013_dead,BP40_dead,1
BeeP-09-2013_dead,BP32_dead,1
BeeP-09-2013_dead,BeeP-11-2013_dead,1
BeeP-08-2013_alive,BeeP-05-2013_dead,2
BeeP-08-2013_alive,BeeP-18-2013_dead,2
BeeP-08-2013_alive,BeeP-16-2013_dead,2
BeeP-08-2013_alive,BeeP-32-2013_alive,2
BeeP-08-2013_alive,BeeP-25-2013_alive,2
BeeP-08-2013_alive,BeeP-35-2013_alive,2
BeeP-08-2013_alive,BP10_alive,2
BeeP-08-2013_alive,BeeP-38-2013_dead,1
BeeP-08-2013_alive,BP24_dead,2
BeeP-08-2013_alive,BeeP-47-2013_alive,2
BeeP-08-2013_alive,BeeP-45-2013_alive,2
BeeP-08-2013_alive,BeeP-44-2013_dead,2
BeeP-08-2013_alive,BeeP-48-2013_dead,2
BeeP-08-2013_alive,BeeP-49-2013_alive,2
BeeP-08-2013_alive,BeeP-17-2013_alive,2
BeeP-08-2013_alive,BP49_alive,1
BeeP-08-2013_alive,BP23_alive,2
BeeP-08-2013_alive,BeeP-11-2013_dead,2
BeeP-08-2013_alive,BP50_alive,2
BeeP-05-2013_dead,BeeP-18-2013_dead,2
BeeP-05-2013_dead,BeeP-16-2013_dead,2
BeeP-05-2013_dead,BeeP-32-2013_alive,3
BeeP-05-2013_dead,BeeP-34-2013_dead,1
BeeP-05-2013_dead,BeeP-25-2013_alive,12
BeeP-05-2013_dead,BeeP-35-2013_alive,2
BeeP-05-2013_dead,BP10_alive,2
BeeP-05-2013_dead,BP25_dead,1
BeeP-05-2013_dead,BeeP-38-2013_dead,2
