Link	bacnam
Ga0070887	Lactobacillus_kullabergensis_Biut2
Ga0070888	Lactobacillus_mellis_Hon2
Ga0072395	Bifidobacterium_asteroides_Bin2
Ga0072396	Bifidobacterium_asteroides_Bin7
Ga0072398	Bifidobacterium_coryneforme_Bma6
Ga0072399	Lactobacillus_mellifer_Bin4
Ga0072400	Lactobacillus_helsingborgensis_Bma5
Ga0072401	Bifidobacterium_asteroides_Hma3
Ga0072402	Lactobacillus_apis_Hma11
Ga0072403	Lactobacillus_kimbladii_Hma2
Ga0072404	Lactobacillus_melliventris_Hma8
Ga0133549	Bifidobacterium_asteroides_Bi_170
Ga0133550	Bifidobacterium_coryneforme_Bi_197
Ga0216351	Commensalibacter_sp._ESL0284
Ga0133551	Bifidobacterium_asteroides_Bi_198
Ga0133552	Bifidobacterium_asteroides_Bi_199
Ga0133562	Lactobacillus_melliventris_Lb_184
Ga0133553	Bifidobacterium_asteroides_Bi_200
Ga0133554	Frischella_perrara_Fp_167
Ga0133555	Gilliamella_apicola_Ga_169
Ga0133556	Gilliamella_apicola_Ga_172
Ga0133557	Gilliamella_apicola_Ga_177
Ga0133558	Gilliamella_apicola_Ga_182
Ga0133559	Gilliamella_apicola_Ga_178
Ga0133560	Snodgrassella_alvi_Sa_196
Ga0133561	Lactobacillus_helsinborgensis_Lb_183
Ga0133563	Lactobacillus_apis_Lb_185
Ga0133564	Lactobacillus_kullabergensis_Lb_186
