,Group
BP10_NODE_1_length_45341_cov_25_339474,High modularity 2
BP10_NODE_2_length_40087_cov_5_014687,High modularity 0
BP10_NODE_3_length_16289_cov_6_798924,High modularity 0
BP10_NODE_4_length_15037_cov_3_015353,High modularity 0
BP10_NODE_5_length_15008_cov_1_810103,High modularity 0
BP10_NODE_7_length_14846_cov_29_379151,High modularity 0
BP10_NODE_8_length_12499_cov_3_175634,High modularity 2
BP10_NODE_9_length_11931_cov_2_042083,High modularity 0
BP10_NODE_10_length_11747_cov_2_158782,High modularity 0
BP10_NODE_13_length_11265_cov_2_914034,High modularity 0
BP10_NODE_15_length_10999_cov_3_671539,High modularity 0
BP10_NODE_17_length_10491_cov_2_817936,High modularity 0
BP10_NODE_19_length_9985_cov_1_363341,Low coverage
BP10_NODE_20_length_9896_cov_2_133197,Low coverage
BP10_NODE_21_length_9458_cov_1_370462,Low coverage
BP10_NODE_23_length_8719_cov_2_107932,Low coverage
BP10_NODE_25_length_7921_cov_2_524103,Low coverage
BP10_NODE_28_length_7743_cov_1_824849,Low coverage
BP10_NODE_29_length_7682_cov_1_930829,Low coverage
BP10_NODE_37_length_7197_cov_2_076738,Low coverage
BP10_NODE_41_length_6714_cov_2_134688,Low coverage
BP10_NODE_42_length_6707_cov_2_738081,Low coverage
BP10_NODE_45_length_6208_cov_1_436340,Low coverage
BP10_NODE_47_length_6020_cov_2_065774,Low coverage
BP10_NODE_48_length_5865_cov_2_167305,Low coverage
BP10_NODE_49_length_5857_cov_2_978208,High coverage
BP10_NODE_52_length_5544_cov_3_061958,High coverage
BP10_NODE_53_length_5530_cov_0_858754,Low coverage
BP10_NODE_58_length_5211_cov_1_575639,Low coverage
BP10_NODE_59_length_5021_cov_1_584490,High coverage
BP10_NODE_62_length_4689_cov_0_908275,Low coverage
BP10_NODE_63_length_4616_cov_2_633370,Low coverage
BP10_NODE_64_length_4605_cov_1_028546,Low coverage
BP10_NODE_65_length_4497_cov_1_284735,Low coverage
BP10_NODE_67_length_4346_cov_3_144379,High coverage
BP10_NODE_69_length_4309_cov_0_454155,Low coverage
BP10_NODE_73_length_4203_cov_1_782215,Low coverage
BP10_NODE_77_length_3986_cov_1_271928,High coverage
BP10_NODE_82_length_3905_cov_2_049947,High coverage
BP10_NODE_83_length_3885_cov_1_674283,Low coverage
BP10_NODE_84_length_3848_cov_2_056077,Low coverage
BP10_NODE_88_length_3729_cov_1_147173,Low coverage
BP10_NODE_95_length_3455_cov_0_774145,Low coverage
BP10_NODE_99_length_3369_cov_0_686884,High coverage
BP10_NODE_101_length_3285_cov_0_725032,High coverage
BP10_NODE_112_length_3003_cov_2_693269,Low coverage
BP10_NODE_123_length_2866_cov_1_435701,Low coverage
BP10_NODE_131_length_2763_cov_1_689251,Low coverage
BP10_NODE_143_length_2627_cov_1_573823,High coverage
BP10_NODE_144_length_2624_cov_0_505394,Low coverage
BP10_NODE_156_length_2428_cov_0_748591,Low coverage
BP10_NODE_166_length_2344_cov_3_079622,Low coverage
BP10_NODE_167_length_2337_cov_1_171480,Low coverage
BP10_NODE_171_length_2299_cov_0_713958,Low coverage
BP10_NODE_181_length_2173_cov_0_774366,Low coverage
BP10_NODE_184_length_2151_cov_0_353202,Low coverage
BP10_NODE_206_length_1967_cov_1_039003,High coverage
BP10_NODE_209_length_1946_cov_1_866849,Low coverage
BP10_NODE_210_length_1938_cov_0_323610,Low coverage
BP10_NODE_211_length_1935_cov_1_147740,Low coverage
BP10_NODE_215_length_1888_cov_0_293152,High coverage
BP10_NODE_220_length_1866_cov_0_394269,Low coverage
BP10_NODE_222_length_1855_cov_1_661476,Low coverage
BP10_NODE_228_length_1837_cov_0_405012,High coverage
BP10_NODE_230_length_1802_cov_1_218322,Low coverage
BP10_NODE_238_length_1758_cov_0_262676,Low coverage
BP10_NODE_271_length_1640_cov_0_830151,Low coverage
BP10_NODE_273_length_1629_cov_1_642573,Low coverage
BP10_NODE_278_length_1601_cov_0_325676,Low coverage
BP10_NODE_286_length_1543_cov_0_469058,Low coverage
BP10_NODE_307_length_1471_cov_1_580000,Low coverage
BP10_NODE_308_length_1469_cov_0_245549,Low coverage
BP10_NODE_348_length_1348_cov_0_163814,Low coverage
BP10_NODE_373_length_1294_cov_0_387042,High coverage
BP10_NODE_431_length_1195_cov_0_275605,Low coverage
BP10_NODE_443_length_1176_cov_0_514692,Low coverage
BP10_NODE_455_length_1156_cov_0_183575,Low coverage
BP10_NODE_468_length_1130_cov_0_294351,Low coverage
BP10_NODE_531_length_1050_cov_0_375673,Low coverage
BP10_NODE_665_length_934_cov_0_378844,Low coverage
BP10_NODE_842_length_802_cov_0_240822,Low coverage
BP10_NODE_1044_length_722_cov_0_254576,Low coverage
BP10_NODE_1047_length_721_cov_0_283333,Low coverage
BP10_NODE_1119_length_700_cov_0_438687,Low coverage
BP10_NODE_1320_length_655_cov_0_305243,Low coverage
BP10_NODE_1342_length_651_cov_0_275472,Low coverage
BP10_NODE_1358_length_647_cov_0_218631,Low coverage
BP10_NODE_1482_length_626_cov_0_172277,Low coverage
BP10_NODE_1577_length_611_cov_0_265306,Low coverage
BP10_NODE_1583_length_610_cov_0_323108,Low coverage
BP10_NODE_1601_length_608_cov_0_375770,Low coverage
BP10_NODE_1764_length_588_cov_0_169165,Low coverage
