,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
1,108,439,1030,164,36,295,200,287,194,165,439,194,469,886,304,469,288,674,880,559,42,469,776,420,541,228,470,883,43,296,397,789,469,166,886,557,53,367,557,397,346,939,73,288,324,414,302,106,3177,449,599,135,346,76,341,293,275,43,141,165,883,66,238,200,296,470,146,43,275,469,469,43,36,287,157,101,488,296,296,729,166,605,664,108,297,475,346,400,469,51,397,287,412,412,394,164,258,384,108,297
2,420,468,1044,277,1053,982,719,955,398,658,667,410,624,1059,707,527,533,1196,930,662,619,649,911,491,564,879,478,1137,647,455,413,863,729,372,948,769,171,406,737,538,426,1124,147,417,527,724,340,179,3378,484,716,197,709,615,398,675,416,320,619,808,1106,3185,801,304,357,722,433,306,429,584,1001,227,894,528,264,906,966,704,882,1202,929,975,775,703,387,577,426,500,788,273,463,395,641,422,450,453,464,756,703,861
3,532,713,1101,495,1057,1133,806,1347,574,1073,729,560,718,1068,1061,1050,783,1202,949,771,649,1128,1072,664,827,927,946,1138,923,748,504,881,739,395,967,820,242,1052,947,562,501,1214,175,645,813,779,579,822,3471,494,754,312,755,733,648,697,721,690,833,859,1127,3572,861,676,552,1141,821,557,556,649,1129,430,905,1129,291,1130,1289,711,932,1315,939,1005,789,863,569,717,1038,502,870,730,784,410,955,452,856,467,526,765,728,869
4,624,738,1198,622,1072,1262,922,1429,754,1094,797,1062,819,1132,1101,1121,810,1241,961,773,896,1165,1144,686,846,994,1041,1144,971,838,616,888,928,596,1094,1211,363,1088,997,732,657,1222,206,812,907,884,581,865,3487,530,854,384,821,852,720,992,1122,808,944,875,1144,3618,916,814,562,1206,847,743,631,1188,1186,611,1093,1145,312,1219,1306,720,1009,1399,943,1106,882,886,855,807,1041,719,1013,865,787,543,958,508,1047,721,687,837,1163,904
5,755,784,1233,627,1087,1280,1056,1455,837,1126,1234,1079,951,1195,1149,1131,995,1367,1017,834,1189,1210,1171,799,952,1001,1087,1220,997,1067,695,940,1344,644,1096,1254,468,1207,1038,741,685,1269,264,1111,3579,1000,589,876,3534,934,900,459,870,953,922,1090,1129,945,998,1035,1149,3654,994,859,690,1229,942,1182,659,1204,1230,752,1148,1224,454,1234,1374,812,1057,1403,1005,1124,914,991,929,908,1058,817,1095,1003,827,664,1252,632,1107,923,777,1074,1167,932
6,1304,807,1272,641,1135,1314,1090,1522,1103,1257,1245,1211,990,1367,1196,1275,1062,1399,1158,891,1251,1213,1216,914,971,1041,1147,1232,1071,1074,993,948,1356,1226,1120,1254,739,1254,1044,769,885,1278,587,1148,3593,1021,615,879,3538,1000,934,751,904,1293,958,1124,1228,979,1039,1088,1167,3675,1300,1289,833,1236,1000,1260,722,1416,1245,1135,1148,1304,573,1285,1390,834,1089,1418,1069,1126,977,1063,1305,982,1093,1047,1163,1107,888,808,1370,746,1394,957,828,1121,1292,1005
7,1333,834,1276,725,1195,1315,1114,1582,1131,1304,1454,1214,1110,1455,1247,1326,1186,1410,1158,905,1270,1232,1255,1263,1029,1160,1269,1338,1087,1101,1022,1081,1394,1239,1176,1597,748,1279,1045,821,948,1323,708,1320,3612,1046,716,889,3546,1012,982,756,904,1353,971,1131,1309,1035,1088,1115,1272,3819,1382,1300,890,1288,1014,1342,775,1447,1294,1170,1311,1305,710,1300,1507,868,1094,1456,1126,1211,1165,1095,1434,1032,1106,1062,1173,1418,893,899,1390,832,1507,1047,1238,1215,1308,1064
8,1348,935,1334,755,1277,1325,1238,1583,1246,1304,1477,1263,1141,1463,1286,1346,1287,1449,1187,1031,1326,1246,1272,1265,1107,1373,1506,1356,1169,1169,1033,1090,1449,1244,1242,1599,795,1399,1126,965,1104,1369,719,1378,3615,1064,889,919,3568,1103,993,795,979,1386,1032,1185,1439,1096,1104,1132,1277,3882,1536,1308,898,1308,1035,1346,1015,1628,1299,1177,1365,1369,1170,1330,1512,1208,1109,1493,1189,1212,1428,1096,1461,1033,1211,1197,1187,1437,1033,1109,1524,889,1565,1072,1312,1229,1485,1075
9,1352,978,1355,998,1440,1345,1262,1603,1305,1369,1492,1271,1187,1484,1508,1347,1294,1461,1267,1047,1345,1327,1280,1280,1141,1401,1516,1377,1178,1178,1078,1188,1480,1299,1303,1615,975,1419,1241,1013,1119,1422,725,1409,3639,1122,893,964,3572,1199,1089,805,1010,1423,1090,1201,1444,1343,1142,1380,1297,3909,1536,1398,899,1315,1117,1405,1050,1658,1308,1237,1385,1374,1200,1363,1526,1220,1157,1509,1196,1516,1466,1211,1502,1067,1265,1434,1222,1801,1074,1251,1551,894,1592,1359,1332,1239,1496,1100
10,1394,1081,1391,1071,1451,1387,1272,1633,1313,1372,1535,1385,1245,1488,1557,1396,1299,1485,1293,1057,1345,1333,1296,1328,1164,1450,1527,1378,1222,1235,1216,1260,1490,1303,1369,1641,1110,1519,1252,1028,1120,1444,876,1420,3647,1163,982,1018,3613,1213,1112,859,1106,1432,1138,3811,1449,1348,1236,1383,1381,3910,1596,1402,1015,1503,1388,1412,1089,1663,1311,1370,1470,1376,1202,1385,1576,1234,1161,1516,1351,1583,1546,1214,1511,1133,1327,1440,1492,1829,1081,1267,1554,895,1602,1383,1525,1314,1518,1127
