	Num_Contigs
Lactobacillus_kullabergensis_Lb_186	7
Lactobacillus_apis_Lb_185	4
Lactobacillus_melliventris_Lb_184	1
Lactobacillus_helsinborgensis_Lb_183	1
Bifidobacterium_asteroides_Bi_170	3
Bifidobacterium_asteroides_Bi_198	6
Bifidobacterium_asteroides_Bi_199	5
Bifidobacterium_asteroides_Bi_200	5
Gilliamella_apicola_Ga_169	1
Gilliamella_apicola_Ga_172	4
Gilliamella_apicola_Ga_177	7
Gilliamella_apicola_Ga_178	6
Gilliamella_apicola_Ga_182	5
Lactobacillus_kimbladii_Hma2	12
Lactobacillus_apis_Hma11	1
Bifidobacterium_asteroides_Bin2	9
Lactobacillus_kullabergensis_Biut2	5
Lactobacillus_melliventris_Hma8	8
Bifidobacterium_asteroides_Bin7	6
Bifidobacterium_asteroides_Hma3	6
Bifidobacterium_coryneforme_Bi_197	0
Bifidobacterium_coryneforme_Bma6	0
Commensalibacter_sp._ESL0284	0
Frischella_perrara_Fp_167	0
Lactobacillus_helsingborgensis_Bma5	0
Lactobacillus_mellifer_Bin4	0
Lactobacillus_mellis_Hon2	0
Snodgrassella_alvi_Sa_196	0
