	Num_Contigs
Lactobacillus_mellifer_Bin4	1
Frischella_perrara_Fp_167	1
Lactobacillus_helsingborgensis_Bma5	1
Lactobacillus_melliventris_Hma8	1
Lactobacillus_kullabergensis_Biut2	1
Lactobacillus_apis_Hma11	1
Lactobacillus_kimbladii_Hma2	1
Lactobacillus_helsinborgensis_Lb_183	1
Lactobacillus_melliventris_Lb_184	2
Lactobacillus_apis_Lb_185	1
Lactobacillus_kullabergensis_Lb_186	1
Bifidobacterium_asteroides_Hma3	1
Bifidobacterium_coryneforme_Bma6	1
Bifidobacterium_asteroides_Bin7	1
Bifidobacterium_asteroides_Bin2	1
Bifidobacterium_asteroides_Bi_200	1
Bifidobacterium_asteroides_Bi_199	1
Bifidobacterium_asteroides_Bi_198	1
Bifidobacterium_coryneforme_Bi_197	1
Bifidobacterium_asteroides_Bi_170	1
Commensalibacter_sp._ESL0284	0
Gilliamella_apicola_Ga_169	0
Gilliamella_apicola_Ga_172	0
Gilliamella_apicola_Ga_177	0
Gilliamella_apicola_Ga_178	0
Gilliamella_apicola_Ga_182	0
Lactobacillus_mellis_Hon2	0
Snodgrassella_alvi_Sa_196	0
