,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Genera,Families,Orders,Members
0,VC_0_0,2,141.81652593258542,498.83549099245187,0.22136280256053478,0.04855207632088341,2.23606797749979,2.23606797749979,1,1,1.0,2.23606797749979,1,1,1,"Achromobacter~phage~83-24,Achromobacter~phage~JWX"
1,VC_100_0,4,131.10820764568044,193.05294263643992,0.40445379568642253,0.0006581156464984636,1.4142135623730951,5.196152422706632,6,6,1.0,3.9678578660594876,1,1,1,"BP23_NODE_29_length_5407_cov_1_805524,BeeP-11-2013_NODE_281_length_4087_cov_11_438653,BeeP-38-2013_NODE_3_length_17236_cov_13_185209,BeeP-49-2013_NODE_4_length_20091_cov_28_633107"
2,VC_101_0,3,47.899767222569984,89.61643917734864,0.34832088869052985,0.005460790785662569,2.449489742783178,5.5677643628300215,3,3,1.0,4.404468842773277,1,1,1,"BP50_NODE_12_length_7328_cov_1_342167,BeeP-35-2013_NODE_12_length_23245_cov_25_396581,BeeP-49-2013_NODE_46_length_4568_cov_7_926965"
3,VC_103_0,10,1854.8938675959685,6860.0702228919345,0.21284010448425417,8.671371052554957e-26,4.898979485566356,9.695359714832659,45,38,0.8444444444444444,7.793214966664556,2,2,2,"BP33_NODE_4_length_28800_cov_2_678789,Enterobacteria~phage~HK225,Enterobacteria~phage~cdtI,Enterobacteria~phage~mEp237,Enterobacteria~phage~mEp460,Enterobacteria~phage~phi80,Escherichia~virus~N15,Phage~Gifsy-1,Phage~Gifsy-2,Salmonella~phage~Fels-1"
4,VC_107_0,4,246.8101865602025,0,1.0,0.0,2.0,5.385164807134504,6,6,1.0,4.201317890510482,1,1,1,"Anabaena~phage~A-4L,Cyanophage~PP,Phormidium~virus~WMP3,Phormidium~virus~WMP4"
5,VC_108_0,2,38.64905891477069,7.612609192197587,0.835444559098142,0.27014568730370997,4.242640687119285,4.242640687119285,1,1,1.0,4.242640687119285,1,2,2,"Archaeal~BJ1~virus,Halorubrum~phage~CGphi46"
6,VC_109_0,2,46.56985768551286,4.38147674406177,0.9140066341124414,0.5,6.244997998398398,6.244997998398398,1,1,1.0,6.244997998398398,2,1,1,"Arthrobacter~phage~BarretLemon,Arthrobacter~phage~vB_ArtM-ArV1"
7,VC_10_0,3,16.060320439364915,123.17785515995593,0.11534423207024017,0.15003943402574438,1.0,1.7320508075688772,3,3,1.0,1.3820881233139908,1,1,1,"BeeP-11-2013_NODE_400_length_3245_cov_6_169823,BeeP-11-2013_NODE_488_length_2866_cov_7_518465,BeeP-37-2013_NODE_46_length_4193_cov_9_767979"
8,VC_110_0,4,232.8120194811121,62.58364327134838,0.7881362147019978,0.0025374340489701264,2.449489742783178,4.242640687119285,6,6,1.0,3.7142583905626196,1,1,1,"Gordonia~phage~GMA5,Gordonia~phage~GRU3,Gordonia~phage~McGonagall,Rhodococcus~phage~RRH1"
9,VC_111_0,2,283.71555020040256,0,1.0,0.0,2.0,2.0,1,1,1.0,2.0,1,1,1,"Arthrobacter~phage~KellEzio,Arthrobacter~phage~Kitkat"
10,VC_112_0,2,240.74942052302018,475.3914473167622,0.33617606721598453,0.05391259770464737,1.0,1.0,1,1,1.0,1.0,1,1,1,"Rhodococcus~phage~ReqiPepy6,Rhodococcus~phage~ReqiPoco6"
