,species,no rank,genus,subfamily,family,order,superkingdom,class,phylum
Bacillus phage SalinJah,Bacillus phage SalinJah,all,Wphvirus,Bastillevirinae,Herelleviridae,Caudovirales,Vira,,
Enterobacter phage Tyrion,Enterobacter phage Tyrion,all,Epsilon15-like viruses,,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Patience,Mycobacterium virus Patience,all,Patiencevirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacter phage Arya,Enterobacter phage Arya,all,Cvm10virus,,Myoviridae,Caudovirales,Vira,,
Salmonella phage BPS15Q2,Salmonella virus BPS15Q2,all,FelixO1likevirus,Ounavirinae,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage AnnaL29,Mycobacteriophage AnnaL29,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Bactobuster,Mycobacterium phage Bactobuster,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage ArcherNM,Mycobacteriophage ArcherNM,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage EvilGenius,Mycobacterium phage EvilGenius,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Loser,Mycobacteriophage Loser,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Mulciber,Mycobacteriophage Mulciber,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Catalina,Mycobacteriophage Catalina,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage JSwag,Gordonia phage JSwag,all,Soupsvirus,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage Remus,Gordonia phage Remus,all,Soupsvirus,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage Soups,Gordonia virus Soups,all,Soupsvirus,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage KatherineG,Gordonia phage KatherineG,all,Soupsvirus,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage Rosalind,Gordonia phage Rosalind,all,Soupsvirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage VohminGhazi,Mycobacterium phage VohminGhazi,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage SweetiePie,Mycobacteriophage SweetiePie,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Anubis,Mycobacterium phage Anubis,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Pioneer,Mycobacterium phage Pioneer,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Theia,Mycobacteriophage Theia,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Serenity,Mycobacteriophage Serenity,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
