,Length,LogLength,Numgene,numVOG,numVOG3,pVOG/ORF,VQ3,ID,const,Virusness
BP10_NODE_101_length_3285_cov_0_725032,3285,3.5165353738957994,6,3,4,0.5,0.67,Virsort,Lin,0.0264373207
BP10_NODE_1044_length_722_cov_0_254576,722,2.858537197569639,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_1047_length_721_cov_0_283333,721,2.857935264719429,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_10_length_11747_cov_2_158782,11747,4.069926968752473,16,10,12,0.62,0.75,Virsort,Lin,0.7476504885333334
BP10_NODE_1119_length_700_cov_0_438687,700,2.845098040014257,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_112_length_3003_cov_2_693269,3003,3.477555332198981,3,3,3,1.0,1.0,Virsort,Lin,0.9451485144999999
BP10_NODE_123_length_2866_cov_1_435701,2866,3.4572761860613257,4,2,2,0.5,0.5,Virsort,Lin,0.7755888822
BP10_NODE_131_length_2763_cov_1_689251,2763,3.4413808849165113,4,2,2,0.5,0.5,Diamond,Lin,0.0
BP10_NODE_1320_length_655_cov_0_305243,655,2.816241299991783,3,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_1342_length_651_cov_0_275472,651,2.8135809885681917,1,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_1358_length_647_cov_0_218631,647,2.8109042806687006,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP10_NODE_13_length_11265_cov_2_914034,11265,4.051731196059849,18,4,5,0.22,0.28,Virsort,Lin,0.7555162943000001
BP10_NODE_143_length_2627_cov_1_573823,2627,3.4194600727860704,8,3,3,0.38,0.38,Virsort,Lin,0.42192526514999995
BP10_NODE_144_length_2624_cov_0_505394,2624,3.4189638307036225,4,3,3,0.75,0.75,Virsort,Lin,0.6003875464
BP10_NODE_1482_length_626_cov_0_172277,626,2.7965743332104296,3,3,3,1.0,1.0,Diamond,Lin,0.9278792170666668
BP10_NODE_156_length_2428_cov_0_748591,2428,3.38524868240322,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP10_NODE_1577_length_611_cov_0_265306,611,2.786041210242554,3,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_1583_length_610_cov_0_323108,610,2.785329835010767,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP10_NODE_15_length_10999_cov_3_671539,10999,4.041353202046975,12,1,1,0.08,0.08,Virsort,Lin,1.0
BP10_NODE_1601_length_608_cov_0_375770,608,2.783903579272735,1,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_166_length_2344_cov_3_079622,2344,3.369957607346053,4,3,3,0.75,0.75,Virsort,Lin,0.11810124953333334
BP10_NODE_167_length_2337_cov_1_171480,2337,3.368658712392227,5,3,3,0.6,0.6,Virsort,Lin,0.5282430872666667
