## 1 - Complete phage contigs - category 1 (sure)
## Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_BP10_NODE_112_length_3003_cov_2_693269,3,VIRSorter_BP10_NODE_112_length_3003_cov_2_693269,3,1,2,2.93987201451834,,,,,
VIRSorter_BP10_NODE_123_length_2866_cov_1_435701,4,VIRSorter_BP10_NODE_123_length_2866_cov_1_435701,4,1,3,3.91982935269112,,2.36788152322481,,,
VIRSorter_BP10_NODE_181_length_2173_cov_0_774366,4,VIRSorter_BP10_NODE_181_length_2173_cov_0_774366,4,1,2,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP10_NODE_19_length_9985_cov_1_363341,5,VIRSorter_BP10_NODE_19_length_9985_cov_1_363341,5,1,2,2.01071095767098,,2.95985190403101,,,
VIRSorter_BP10_NODE_228_length_1837_cov_0_405012,3,VIRSorter_BP10_NODE_228_length_1837_cov_0_405012,3,1,3,2.93987201451834,,,,,
VIRSorter_BP10_NODE_2_length_40087_cov_5_014687,55,VIRSorter_BP10_NODE_2_length_40087_cov_5_014687,55,1,3,36.02578502589954,,27.31786011776904,,,
VIRSorter_BP10_NODE_37_length_7197_cov_2_076738,10,VIRSorter_BP10_NODE_37_length_7197_cov_2_076738,10,1,1,4.90552410684877,,5.91970380806202,,,
VIRSorter_BP10_NODE_41_length_6714_cov_2_134688,8,VIRSorter_BP10_NODE_41_length_6714_cov_2_134688,8,1,3,5.99834991174870,,4.73576304644962,,,
VIRSorter_BP10_NODE_59_length_5021_cov_1_584490,9,VIRSorter_BP10_NODE_59_length_5021_cov_1_584490,9,1,1,4.07773535702027,,5.32773342725582,,,
VIRSorter_BP10_NODE_63_length_4616_cov_2_633370,8,VIRSorter_BP10_NODE_63_length_4616_cov_2_633370,8,1,2,7.83965870538224,,4.73576304644962,,,
VIRSorter_BP10_NODE_65_length_4497_cov_1_284735,7,VIRSorter_BP10_NODE_65_length_4497_cov_1_284735,7,1,1,5.07549135735669,,2.81425248153116,,,
VIRSorter_BP10_NODE_67_length_4346_cov_3_144379,5,VIRSorter_BP10_NODE_67_length_4346_cov_3_144379,5,1,3,4.89978669086390,,2.95985190403101,,,
VIRSorter_BP12_NODE_11_length_4973_cov_1_581204,7,VIRSorter_BP12_NODE_11_length_4973_cov_1_581204,7,1,1,3.65676864270504,,4.14379266564342,,,
VIRSorter_BP12_NODE_12_length_4871_cov_5_243789,7,VIRSorter_BP12_NODE_12_length_4871_cov_5_243789,7,1,1,2.48930326819235,,4.14379266564342,,,
VIRSorter_BP12_NODE_24_length_3444_cov_1_337647,6,VIRSorter_BP12_NODE_24_length_3444_cov_1_337647,6,1,1,5.87974402903668,,3.55182228483721,,,
VIRSorter_BP12_NODE_35_length_2818_cov_3_725621,5,VIRSorter_BP12_NODE_35_length_2818_cov_3_725621,5,1,1,2.01071095767098,,2.95985190403101,,,
VIRSorter_BP12_NODE_55_length_2087_cov_0_668871,4,VIRSorter_BP12_NODE_55_length_2087_cov_0_668871,4,1,1,2.37333664615169,,2.36788152322481,,,
