Contig;Start;Stop
2684657105_Ga0133564_11;598928;607163
2684657108_Ga0133562_12;186088;227691
2684657108_Ga0133562_12;467641;503710
2684657111_Ga0133561_11;1255273;1272591
2684657111_Ga0133561_11;1255273;1272591
2684657128_Ga0133549_13;644094;657682
2684657145_Ga0133551_107;816654;833731
2684657174_Ga0133554_101;33086;53829
2684657180_Ga0133554_107;261362;282369
2684657190_Ga0133554_117;401170;422281
2684657249_Ga0133557_106;73671;100959
2684657249_Ga0133557_106;440883;474628
2684657249_Ga0133557_106;465211;496940
2684657218_Ga0133555_105;244897;280307
2684657231_Ga0133556_105;441594;460883
2684657231_Ga0133556_105;452858;494267
2684657231_Ga0133556_105;860493;874446
2684657231_Ga0133556_105;1201755;1237453
2684657270_Ga0133559_108;1;15292
2684657289_Ga0133558_110;568511;596476
2684657291_Ga0133558_112;38411;58850
2684657319_Ga0133560_108;147522;187808
2684657320_Ga0133560_109;451562;468113
2756195077_Ga0216351_11;468455;479797
2756195077_Ga0216351_11;482890;494611
2756195077_Ga0216351_11;818549;827277
2756195077_Ga0216351_11;1044392;1052922
2756195077_Ga0216351_11;1867836;1877900
2630989686_Ga0072399_108;153019;171920
2630989699_Ga0072399_121;5260;20097
2631035896_Ga0072395_105;1530;8945
2636465880_Ga0070887_117;43;40832
2639818153_Ga0072404_110;275709;313651
2639819791_Ga0070888_107;18803;26229
2639819793_Ga0070888_109;213305;223291
2639819799_Ga0070888_115;4352;12552
2639819799_Ga0070888_115;54697;63440
2645748226_Ga0072400_107;203250;209988
2645778700_Ga0072398_109;448465;457217
2651901448_Ga0072401_108;346942;355868
2756195077_Ga0216351_11;468455;479797
2756195077_Ga0216351_11;482890;494611
2756195077_Ga0216351_11;818549;827277
2756195077_Ga0216351_11;1044392;1052922
2756195077_Ga0216351_11;1867836;1877900
