,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,Achromobacter~phage~83-24,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,2,VC_0_0,2,0.2214,0.95144792,0.2106,1,1,1,1.0
1,Achromobacter~phage~JWAlpha,Caudovirales,Podoviridae,Jwalphavirus,6_2,Clustered,13,VC_6_2,13,0.3979,1.0,0.3979,4,2,2,1.0
2,Achromobacter~phage~JWF,Caudovirales,Siphoviridae,Unassigned,20_0,Clustered,2,VC_20_0,2,0.1353,0.93530082,0.1265,1,2,2,1.0
3,Achromobacter~phage~JWX,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,2,VC_0_0,2,0.2214,0.95144792,0.2106,1,1,1,1.0
4,Achromobacter~phage~phiAxp-1,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,10,VC_1_0,10,0.7158,1.0,0.7158,3,1,1,1.0
5,Achromobacter~phage~phiAxp-3,Caudovirales,Podoviridae,Jwalphavirus,6_2,Clustered,13,VC_6_2,13,0.3979,1.0,0.3979,4,2,2,1.0
6,Acidianus~bottle-shaped~virus,Unassigned,Ampullaviridae,Ampullavirus,27_0,Clustered,3,VC_27_0,3,1.0,1.0,1.0,1,1,1,1.0
7,Acidianus~bottle-shaped~virus~2,Unassigned,Ampullaviridae,Ampullavirus,27_0,Clustered,3,VC_27_0,3,1.0,1.0,1.0,1,1,1,1.0
8,Acidianus~bottle-shaped~virus~3,Unassigned,Ampullaviridae,Ampullavirus,27_0,Clustered,3,VC_27_0,3,1.0,1.0,1.0,1,1,1,1.0
9,Acidianus~filamentous~virus~3,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,29_0,Clustered,6,VC_29_0,6,0.9565,0.9999389,0.9564,1,1,1,1.0
10,Acidianus~filamentous~virus~6,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,29_0,Clustered,6,VC_29_0,6,0.9565,0.9999389,0.9564,1,1,1,1.0
11,Acidianus~filamentous~virus~7,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,29_0,Clustered,6,VC_29_0,6,0.9565,0.9999389,0.9564,1,1,1,1.0
12,Acidianus~filamentous~virus~8,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,29_0,Clustered,6,VC_29_0,6,0.9565,0.9999389,0.9564,1,1,1,1.0
13,Acidianus~filamentous~virus~9,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,29_0,Clustered,6,VC_29_0,6,0.9565,0.9999389,0.9564,1,1,1,1.0
14,Acidianus~spindle-shaped~virus~1,Unassigned,Fuselloviridae,Betafusellovirus,31_0,Clustered,9,VC_31_0,9,0.8976,0.99999966,0.8976,2,1,1,1.0
15,Acinetobacter~phage~AB3,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
16,Acinetobacter~phage~AP22,Caudovirales,Myoviridae,Ap22virus,49_0,Clustered,4,VC_49_0,4,0.3505,0.99998306,0.3505,1,1,1,1.0
17,Acinetobacter~phage~Abp1,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
18,Acinetobacter~phage~Ac42,Caudovirales,Myoviridae,Unassigned,59_19,Clustered,2,VC_59_19,2,0.0077,0.95636413,0.0074,1,1,1,1.0
19,Acinetobacter~phage~Acj61,Caudovirales,Myoviridae,Unassigned,59_20,Clustered,3,VC_59_20,3,0.0157,0.99852632,0.0157,1,1,1,1.0
20,Acinetobacter~phage~Acj9,Caudovirales,Myoviridae,Unassigned,59_20,Clustered,3,VC_59_20,3,0.0157,0.99852632,0.0157,1,1,1,1.0
21,Acinetobacter~phage~Bphi-B1251,Caudovirales,Siphoviridae,Unassigned,71_0,Clustered,3,VC_71_0,3,0.2707,0.91730355,0.2483,1,2,2,1.0
22,Acinetobacter~phage~Fri1,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
23,Acinetobacter~phage~IME200,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
24,Acinetobacter~phage~IME_AB3,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,10,VC_1_0,10,0.7158,1.0,0.7158,3,1,1,1.0
25,Acinetobacter~phage~LZ35,Caudovirales,Myoviridae,Ap22virus,49_0,Clustered,4,VC_49_0,4,0.3505,0.99998306,0.3505,1,1,1,1.0
26,Acinetobacter~phage~Petty,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
27,Acinetobacter~phage~YMC-13-01-C62,Caudovirales,Myoviridae,Ap22virus,49_0,Clustered,4,VC_49_0,4,0.3505,0.99998306,0.3505,1,1,1,1.0
28,Acinetobacter~phage~YMC11/12/R2315,Caudovirales,Myoviridae,Ap22virus,49_0,Clustered,4,VC_49_0,4,0.3505,0.99998306,0.3505,1,1,1,1.0
29,Acinetobacter~phage~ZZ1,Caudovirales,Myoviridae,Unassigned,59_20,Clustered,3,VC_59_20,3,0.0157,0.99852632,0.0157,1,1,1,1.0
30,Acinetobacter~phage~phiAB1,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
