#contig	Length	BeeP-07-2013_filtered.bam	BeeP-19-2013_filtered.bam	BeeP-02-2013_filtered.bam	BeeP-30-2013_filtered.bam	BeeP-10-2013_filtered.bam	BeeP-12-2013_filtered.bam	BeeP-20-2013_filtered.bam	BeeP-01-2013_filtered.bam	BeeP-27-2013_filtered.bam	BeeP-28-2013_filtered.bam	BeeP-08-2013_filtered.bam	BeeP-06-2013_filtered.bam	BeeP-24-2013_filtered.bam	BeeP-09-2013_filtered.bam	BeeP-33-2013_filtered.bam	BeeP-26-2013_filtered.bam	BeeP-29-2013_filtered.bam	BeeP-31-2013_filtered.bam	BeeP-04-2013_filtered.bam	BeeP-03-2013_filtered.bam	BeeP-14-2013_filtered.bam	BeeP-21-2013_filtered.bam	BeeP-36-2013_filtered.bam	BeeP-05-2013_filtered.bam	BeeP-22-2013_filtered.bam	BeeP-15-2013_filtered.bam	BeeP-18-2013_filtered.bam	BeeP-16-2013_filtered.bam	BeeP-32-2013_filtered.bam	BeeP-23-2013_filtered.bam	BeeP-13-2013_filtered.bam	BeeP-34-2013_filtered.bam	BeeP-37-2013_filtered.bam	BeeP-39-2013_filtered.bam	BeeP-25-2013_filtered.bam	BeeP-40-2013_filtered.bam	BeeP-35-2013_filtered.bam	BeeP-41-2013_filtered.bam	BP11_filtered.bam	BP12_filtered.bam	BeeP-42-2013_filtered.bam	BP17_filtered.bam	BP20_filtered.bam	BP18_filtered.bam	BP22_filtered.bam	BeeP-50-2013_filtered.bam	BeeP-Q1-2013_filtered.bam	BP29_filtered.bam	BP26_filtered.bam	BP19_filtered.bam	BP27_filtered.bam	BP28_filtered.bam	BP10_filtered.bam	BP25_filtered.bam	BP30_filtered.bam	BP24_filtered.bam	BP35_filtered.bam	BeeP-38-2013_filtered.bam	BP34_filtered.bam	BeeP-43-2013_filtered.bam	BP31_filtered.bam	BP39_filtered.bam	BP36_filtered.bam	BP38_filtered.bam	BeeP-47-2013_filtered.bam	BP21_filtered.bam	BeeP-Q2-2013_filtered.bam	BeeP-45-2013_filtered.bam	BeeP-46-2013_filtered.bam	BP45_filtered.bam	BP37_filtered.bam	BP43_filtered.bam	BP47_filtered.bam	BeeP-44-2013_filtered.bam	BP44_filtered.bam	BP42_filtered.bam	BP13_filtered.bam	BeeP-48-2013_filtered.bam	BP48_filtered.bam	BP40_filtered.bam	BP41_filtered.bam	BP46_filtered.bam	BP33_filtered.bam	BP16_filtered.bam	BeeP-49-2013_filtered.bam	BP4_filtered.bam	BP9_filtered.bam	BP1_filtered.bam	BP49_filtered.bam	BeeP-17-2013_filtered.bam	BP14_filtered.bam	BP32_filtered.bam	BP2_filtered.bam	BP5_filtered.bam	BP23_filtered.bam	BP8_filtered.bam	BP15_filtered.bam	BP6_filtered.bam	BeeP-11-2013_filtered.bam	BP7_filtered.bam	BP3_filtered.bam	BP50_filtered.bam
BP10_NODE_1_length_45341_cov_25_339474	45341	0.0000	3.0000	2.0000	1.0000	0.0000	16.0000	15.0000	0.0000	3.0000	2.0000	7.0000	98.0000	1.0000	0.0000	31.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	75.0000	4.0000	0.0000	17.0000	212.0000	231.0000	4.0000	0.0000	78.0000	1574.0000	8.0000	3446.0000	15.0000	671.0000	33.0000	72.0000	117.0000	96.0000	163.0000	18.0000	6.0000	30.0000	0.0000	22.0000	13.0000	48.0000	481.0000	107.0000	185.0000	227630.0000	307.0000	2.0000	815.0000	311.0000	114.0000	780.0000	33.0000	364.0000	13.0000	10.0000	0.0000	592.0000	13.0000	3.0000	1.0000	290.0000	113.0000	0.0000	208.0000	126.0000	1750.0000	997.0000	4.0000	145.0000	0.0000	306.0000	4.0000	32.0000	688.0000	1864.0000	0.0000	6.0000	0.0000	11.0000	433.0000	72.0000	235.0000	0.0000	39.0000	24.0000	0.0000	333.0000	8.0000	1.0000	0.0000	3926.0000	0.0000	1.0000	396.0000
BP10_NODE_2_length_40087_cov_5_014687	40087	0.0000	5.0000	1.0000	0.0000	26.0000	6.0000	0.0000	0.0000	0.0000	0.0000	14.0000	23.0000	0.0000	0.0000	0.0000	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.0000	0.0000	0.0000	0.0000	0.0000	48.0000	31.0000	0.0000	0.0000	0.0000	36.0000	112.0000	4.0000	0.0000	0.0000	1272.0000	22.0000	0.0000	41.0000	1.0000	1.0000	1.0000	11.0000	0.0000	0.0000	0.0000	15.0000	25.0000	43.0000	0.0000	0.0000	38960.0000	18.0000	78.0000	0.0000	64.0000	0.0000	5.0000	74.0000	3.0000	0.0000	0.0000	0.0000	47.0000	0.0000	0.0000	1.0000	116.0000	13.0000	4.0000	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.0000	0.0000	162.0000	276.0000	1.0000	79.0000	0.0000	1671.0000	0.0000	5.0000	184.0000	742.0000	606.0000	0.0000	148.0000	25.0000	2.0000	106.0000	0.0000	0.0000	0.0000	0.0000	0.0000	762.0000	13423.0000
BP10_NODE_3_length_16289_cov_6_798924	16289	5.0000	0.0000	0.0000	0.0000	38.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	21885.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	28.0000	2.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000
BP10_NODE_4_length_15037_cov_3_015353	15037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	61.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	22.0000	2653.0000	0.0000	0.0000	8908.0000	119.0000	0.0000	0.0000	13.0000	0.0000	30.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	183.0000	53.0000	0.0000	0.0000	1.0000	84.0000	5.0000	0.0000	0.0000	0.0000	0.0000
BP10_NODE_5_length_15008_cov_1_810103	15008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	36.0000	0.0000	0.0000	0.0000	3.0000	0.0000	0.0000	32.0000	709.0000	0.0000	0.0000	5312.0000	137.0000	0.0000	0.0000	8.0000	0.0000	22.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	208.0000	68.0000	0.0000	0.0000	12.0000	180.0000	9.0000	0.0000	2.0000	0.0000	0.0000
BP10_NODE_7_length_14846_cov_29_379151	14846	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.0000	0.0000	2.0000	2.0000	170.0000	20.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	36.0000	0.0000	0.0000	4.0000	45.0000	2.0000	14.0000	0.0000	0.0000	5.0000	4.0000	100.0000	12.0000	17.0000	0.0000	0.0000	16.0000	2.0000	1062.0000	8.0000	22.0000	0.0000	0.0000	0.0000	3.0000	10.0000	10.0000	2.0000	4.0000	88514.0000	4.0000	3.0000	73.0000	9.0000	0.0000	0.0000	840.0000	52.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.0000	2.0000	0.0000	0.0000	0.0000	2.0000	7285.0000	0.0000	0.0000	0.0000	0.0000	0.0000	539.0000	0.0000	4.0000	2595.0000	0.0000	9.0000	1.0000	101.0000	4.0000	9.0000	21.0000	0.0000	0.0000	96.0000	6.0000	4.0000	0.0000	0.0000	0.0000	85.0000	1.0000	8.0000	12.0000
BP10_NODE_8_length_12499_cov_3_175634	12499	0.0000	0.0000	3.0000	4.0000	1.0000	4.0000	8.0000	0.0000	0.0000	2.0000	2.0000	11.0000	2.0000	6.0000	22.0000	0.0000	0.0000	5.0000	0.0000	1.0000	9.0000	0.0000	0.0000	339.0000	3.0000	0.0000	9.0000	7.0000	29.0000	0.0000	11.0000	4.0000	477.0000	5.0000	979.0000	4.0000	318.0000	3.0000	8.0000	2.0000	0.0000	7.0000	1.0000	3.0000	18.0000	6.0000	0.0000	1.0000	0.0000	36.0000	239.0000	2.0000	8173.0000	2.0000	11.0000	166.0000	23.0000	70.0000	5.0000	12.0000	23.0000	0.0000	0.0000	0.0000	42.0000	0.0000	5.0000	26.0000	0.0000	23.0000	0.0000	27.0000	8.0000	89.0000	6.0000	0.0000	1.0000	25.0000	4.0000	0.0000	60.0000	263.0000	8.0000	0.0000	114.0000	0.0000	8.0000	321.0000	51.0000	77.0000	0.0000	216.0000	24.0000	0.0000	57.0000	4.0000	0.0000	1.0000	745.0000	8.0000	24.0000	225.0000
BP10_NODE_9_length_11931_cov_2_042083	11931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5131.0000	0.0000	0.0000	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP10_NODE_10_length_11747_cov_2_158782	11747	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	36.0000	0.0000	0.0000	0.0000	6.0000	0.0000	0.0000	22.0000	4995.0000	0.0000	0.0000	4867.0000	116.0000	0.0000	0.0000	8.0000	0.0000	31.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	136.0000	57.0000	0.0000	0.0000	4.0000	114.0000	4.0000	0.0000	0.0000	0.0000	0.0000
BP10_NODE_13_length_11265_cov_2_914034	11265	0.0000	0.0000	0.0000	0.0000	8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	21.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	9.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	111.0000	2.0000	0.0000	0.0000	14.0000	2.0000	3.0000	18.0000	5194.0000	0.0000	0.0000	6261.0000	88.0000	0.0000	1.0000	12.0000	1.0000	37.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.0000	0.0000	0.0000	0.0000	54.0000	0.0000	0.0000	2.0000	0.0000	0.0000	3.0000	0.0000	0.0000	0.0000	0.0000	6.0000	0.0000	0.0000	2.0000	0.0000	2.0000	7.0000	0.0000	0.0000	305.0000	65.0000	0.0000	0.0000	8.0000	88.0000	5.0000	0.0000	0.0000	0.0000	0.0000
